id,country,20211116,20211115,20211114,20211113,20211112,20211111,20211110,20211109,20211108,20211107,20211106,20211105,20211104,20211103,20211102,20211031,20211030,20211029,20211028,20211027,20211026,20211025,20211024,20211023,20211022,20211021,20211020,20211019,20211018,20211017,20211016,20211015,20211014,20211013,20211012,20211011,20211010,20211009,20211008,20211007,20211006,20211005,20211004,20211003,20211002,20211001,20210930,20210929,20210928,20210927,20210926,20210925,20210924,20210923,20210922,20210921,20210920,20210919,20210918,20210917,20210916,20210915,20210914,20210913,20210912,20210911,20210910,20210909,20210908,20210907,20210906,20210905,20210904,20210903,20210902,20210901,20210831,20210830,20210829,20210828,20210827,20210826,20210825,20210824,20210823,20210822,20210821,20210820,20210819,20210818,20210817,20210816,20210815,20210814,20210813,20210812,20210811,20210810,20210809,20210808,20210807,20210806,20210805,20210804
1,Afghanistan,156649,156610,156552,156510,156487,156456,156414,156397,156397,156397,156397,156392,156363,156323,156307,156250,156210,156196,156166,156124,156071,156040,155944,155940,155931,155891,155859,155801,155776,155764,155739,155688,155682,155627,155599,155540,155508,155466,155448,155429,155380,155309,155287,155191,155191,155191,155174,155128,155093,155072,154960,154960,154960,154800,154757,154712,154585,154487,154487,154487,154361,154283,154180,154094,153962,153962,153962,153840,153736,153626,153534,153375,153375,153375,153306,153260,153220,153148,152960,152960,152960,152822,152722,152583,152583,152448,152448,152448,152411,152363,152243,152142,151770,151770,151770,151563,151291,151013,150778,149810,149810,149810,149361,148933
2,Albania,193856,193269,193075,192600,192013,191440,190815,190125,189355,189125,187994,187994,186793,186793,186222,185300,184887,184340,183873,183282,182610,181960,181696,181252,180623,180029,179463,178804,178188,177971,177536,177108,176667,176172,175664,175163,174968,174643,174168,173723,173190,172618,171794,171794,171327,170778,170131,169462,168782,168188,167893,167354,166690,165864,165096,164276,163404,162953,162173,161324,160365,159423,158431,157436,157026,156162,155293,154316,153318,152239,151499,150997,150101,149117,148222,147369,146387,145333,144847,144079,143174,142253,141365,140521,139721,139324,138790,138132,137597,137075,136598,136147,135947,135550,135140,134761,134487,134201,133981,133912,133730,133591,133442,133310
3,Algeria,208245,208104,207970,207873,207764,207624,207509,207385,207254,207156,207079,206995,206878,206754,206649,206452,206358,206270,206160,206069,205990,205903,205750,205750,205683,205529,205529,205453,205286,205199,205199,205106,205005,204790,204790,204597,204597,204388,204276,204171,204171,204046,203789,203789,203657,203517,203359,203198,202877,202877,202574,202574,202449,202283,202122,201766,201766,201600,201425,200989,200989,200770,200528,200301,199822,199822,199560,198962,198962,198645,198004,197659,197308,196915,196915,196527,196080,195574,195162,194671,194186,193171,193171,192626,192089,191583,191171,190656,190078,189384,188663,187968,187258,186655,185902,185042,184191,183347,182368,181376,180356,179216,178013,176724
4,Andorra,15929,15907,15819,15819,15819,15744,15744,15717,15705,15618,15618,15618,15618,15572,15516,15516,15516,15516,15505,15462,15425,15425,15404,15404,15404,15382,15382,15369,15338,15338,15338,15338,15326,15307,15307,15291,15291,15291,15291,15288,15284,15271,15267,15222,15222,15222,15222,15209,15192,15189,15167,15167,15167,15156,15153,15140,15140,15124,15124,15124,15113,15108,15099,15096,15083,15083,15083,15078,15070,15070,15069,15055,15055,15055,15052,15046,15033,15032,15025,15025,15025,15016,15014,15003,15002,14988,14988,14988,14981,14976,14960,14954,14924,14924,14924,14908,14891,14873,14836,14836,14836,14836,14809,14797
5,Angola,64913,64913,64899,64875,64857,64815,64762,64724,64674,64654,64612,64583,64533,64487,64458,64374,64301,64226,64126,64033,63930,63861,63775,63691,63567,63340,63197,63012,62842,62789,62606,62385,62143,61794,61580,61378,61245,61023,60803,60448,59895,59371,58943,58603,58076,56583,56583,56040,55583,55121,54795,54280,53840,53387,52968,52644,52307,52307,52208,51827,51407,51047,50738,50446,50348,49943,49628,49349,49114,48790,48656,48475,48261,48004,47781,47544,47331,47168,47079,46929,46726,46539,46340,46076,45945,45945,45583,45325,45175,44972,44739,44617,44534,44534,44174,43998,43890,43747,43662,43592,43487,43487,43158,43070
6,Antigua and Barbuda,4122,4118,4118,4106,4102,4102,4091,4091,4091,4091,4078,4072,4069,4069,4062,4058,4040,4040,4036,4031,4031,4019,4019,3994,3994,3984,3918,3918,3918,3888,3888,3830,3817,3772,3750,3750,3738,3678,3663,3581,3518,3503,3503,3403,3336,3231,3231,3160,2923,2923,2923,2902,2815,2625,2603,2603,2603,2603,2603,2463,2304,2304,2297,2166,2166,2059,2059,1974,1960,1878,1870,1759,1750,1750,1742,1719,1713,1713,1651,1638,1598,1598,1540,1540,1490,1490,1490,1421,1421,1421,1397,1397,1378,1372,1372,1372,1348,1348,1348,1328,1328,1320,1311,1311
7,Argentina,5307159,5305742,5305151,5304059,5302445,5300985,5299418,5298069,5296781,5296188,5295260,5293989,5292549,5291285,5289945,5288259,5287447,5286074,5284485,5283000,5281585,5280358,5279818,5278910,5277525,5275984,5274766,5273463,5272551,5272151,5271361,5270003,5268653,5267339,5266275,5265859,5265528,5265058,5264305,5263219,5261935,5260719,5259738,5259352,5258466,5256902,5255261,5253765,5251940,5250402,5249840,5248847,5246998,5245265,5243231,5241394,5239232,5238610,5237159,5234851,5232358,5229848,5226831,5224534,5223604,5221809,5218993,5215332,5211801,5207695,5203802,5202405,5199919,5195601,5190948,5185620,5178889,5173531,5171458,5167733,5161926,5155079,5148085,5139966,5133831,5130852,5124963,5116803,5106207,5096443,5088271,5084635,5080908,5074725,5066253,5052884,5041487,5029075,5018895,5012754,5002951,4989402,4975616,4961880
8,Armenia,329913,329341,328963,328081,326830,325521,324039,322364,321243,320433,319016,316839,315004,312674,310629,308326,306739,304546,302450,300143,298069,296552,295368,293014,291052,288906,286303,284237,283183,281991,280294,278431,276666,275077,273860,272957,272356,271205,269874,268672,267363,266208,265317,264690,263783,262631,261697,260675,259779,259007,258545,257620,256554,255648,254709,254436,253942,253600,253093,252082,251323,250559,249803,249146,248850,248397,247666,246997,246410,245765,245264,245025,244602,243981,243386,242750,242135,241611,241336,240953,240261,239739,239056,238422,237885,237634,237249,236742,236234,235675,235171,234814,234558,234227,233797,233400,233001,232610,232297,232157,231923,231625,231322,230993
9,Australia,191614,190604,189588,188494,187042,185627,184071,182870,181578,180307,178928,177393,175813,174275,173165,170458,169355,167790,165904,163769,162016,160230,158547,156401,154314,151943,149398,147275,145263,143135,141032,138720,136135,133441,131380,129570,127454,125082,122553,120042,117826,115801,113411,111392,109315,107171,105123,102723,100912,99032,97539,95807,93943,92179,90372,88710,87101,85629,84056,82202,80402,78544,76895,75324,73605,71955,69911,68045,66318,64628,63154,61609,59951,58210,56565,55093,53851,52612,51256,49937,48815,47840,46728,45750,44922,44028,43119,42229,41522,40775,40097,39615,39097,38658,38165,37754,37377,37009,36630,36330,36045,35688,35391,35089
10,Austria,981904,971541,959652,948100,934948,923150,911175,899777,892065,883887,875333,865390,856002,847408,840902,830981,825297,819195,813334,809086,804825,801456,798606,794982,791226,787644,783996,780269,777679,775782,773540,771143,768711,766542,763928,762538,761218,759543,757675,755797,753832,751139,750229,748825,746380,744964,743095,741046,738763,737202,735890,734302,732157,730403,728696,726674,725434,724035,722357,720455,718091,715893,713269,711573,710030,708173,705913,703572,701216,698948,697510,696905,695131,693416,691663,690153,688305,687076,685956,684541,683219,681617,680179,678605,677603,676526,675405,674077,672819,671593,670372,669506,668732,667841,666890,665885,665035,664133,663532,663082,662529,661922,661359,660854
11,Azerbaijan,563940,561925,560853,558431,556430,554096,552322,550446,548591,547281,544650,542150,539710,537004,534748,531370,529109,526920,524788,522368,520068,517802,516325,514289,511974,509862,507857,505554,503452,502207,498630,498630,496780,495332,494067,492790,492179,491147,490130,488213,488213,487204,486378,485987,485275,484591,483902,483128,481401,481401,480843,479814,478715,477587,476409,475053,473459,467173,467173,467173,467173,463326,463326,461249,455044,455044,455044,447725,447725,447725,445278,442872,439562,436257,432495,428736,424891,421103,417996,413986,409745,405542,401828,398034,394451,391506,388437,384886,380918,377304,373175,369853,368002,365009,361501,359732,357058,354662,352926,351825,350605,349316,348074,346878
12,Bahamas,22613,22601,22572,22572,22552,22552,22544,22592,22529,22485,22485,22485,22429,22429,22407,22351,22351,22351,22259,22259,22259,22179,22179,22179,22154,22092,22048,21978,21580,21580,21580,21580,21580,21580,21580,21580,21580,21580,21518,21518,21312,21312,21114,21114,21114,20984,20984,20842,20775,20603,20603,20603,20288,20288,20288,20215,20030,20030,20030,19795,19795,19601,19601,19335,19335,19275,19139,19139,19035,18853,18853,18694,18694,18576,18139,18139,18139,18139,17940,17940,17717,17717,17615,17545,17386,16962,16962,16962,16848,16668,16668,16668,16141,16141,16141,16141,15915,15915,15794,15419,15419,15191,15191,15046
13,Bahrain,277262,277246,277223,277201,277184,277165,277138,277098,277098,277081,277011,276983,276956,276917,276874,276794,276749,276718,276685,276635,276608,276571,276526,276461,276395,276336,276262,276188,276118,276030,275975,275912,275862,275803,275734,275654,275597,275538,275458,275394,275349,275279,275237,275175,275130,275057,274981,274925,274877,274814,274745,274676,274614,274524,274452,274383,274264,274179,274107,274041,273977,273916,273835,273743,273622,273542,273454,273366,273252,273113,273008,272916,272807,272709,272635,272540,272453,272341,272246,272148,272042,271933,271803,271715,271631,271534,271432,271353,271257,271130,271025,270919,270816,270692,270590,270451,270290,270161,270060,269949,269949,269737,269617,269495
14,Bangladesh,1572735,1572501,1572501,1572127,1572127,1571906,1571669,1571434,1571228,1571013,1570835,1570485,1570485,1570238,1569982,1569539,1569328,1569162,1568857,1568563,1568257,1567981,1567692,1567417,1566907,1566907,1566664,1566296,1565827,1565488,1565174,1564881,1564485,1563501,1563501,1562958,1562359,1561878,1561463,1560818,1560155,1559452,1558758,1557964,1557347,1556758,1555911,1555051,1553873,1552563,1551351,1550371,1549553,1548320,1547176,1545800,1544238,1542683,1541300,1540110,1538203,1536341,1534440,1532366,1530413,1528542,1524890,1524890,1522302,1519805,1517166,1514456,1512026,1510283,1507116,1503680,1500618,1497261,1489589,1489589,1486153,1482628,1472964,1472964,1467715,1461998,1457194,1453203,1447210,1440644,1433396,1425861,1418902,1412218,1405333,1396868,1386742,1376322,1365158,1353695,1343396,1335260,1322654,1309910
15,Barbados,22316,22316,22093,21877,21311,21011,20676,20265,20265,19831,19516,19188,18852,18459,18023,17465,17465,16782,16424,16033,15588,15341,15050,14753,14326,13934,13553,13171,12968,12773,12427,12105,11785,11474,11132,10918,10667,10383,10082,9823,9523,9205,9010,8792,8609,8381,8180,7981,7981,7576,7401,7401,7232,6904,6736,6631,6527,6358,6358,6358,6177,6177,5984,5906,5844,5759,5651,5573,5486,5417,5349,5248,5183,5152,5072,5032,4968,4931,4931,4789,4741,4720,4720,4668,4652,4640,4628,4609,4594,4581,4581,4548,4525,4525,4509,4496,4485,4480,4480,4464,4455,4443,4433,4433
16,Belarus,631025,629271,627478,625592,623628,621689,619708,617719,615814,613927,612015,610022,608031,606033,604037,600168,598183,596191,594203,592224,588231,588231,586234,584190,582111,580029,577932,575856,573943,571987,570006,567938,565865,563813,561753,559715,557772,555793,553795,551800,549817,547826,545843,543976,542077,540079,538086,536097,534104,532149,530203,528229,526242,524248,522275,520286,518369,516428,514446,512460,510481,508514,506591,504961,503073,501166,499279,497420,495578,493818,492399,490926,488963,487017,485067,483231,481532,480364,479306,477901,476265,474403,472852,471495,470635,469717,468415,466948,465210,463855,462794,462197,461303,459998,458847,457422,456247,455281,454674,453932,452953,451740,450445,449302
17,Belgium,1512474,1484712,1484712,1484712,1463548,1463548,1448962,1438830,1414463,1414463,1414463,1403548,1393358,1385377,1360650,1360650,1360650,1351913,1342718,1333947,1328202,1312360,1312360,1312360,1305678,1299439,1292887,1289033,1279869,1279869,1279869,1276221,1272669,1269002,1266562,1261102,1261102,1261102,1258688,1256191,1253587,1251857,1247197,1247197,1247197,1244954,1242821,1240232,1238358,1233723,1233723,1233723,1231523,1229236,1226682,1224885,1219814,1219814,1219814,1217473,1215114,1212106,1210381,1205516,1205516,1205516,1203326,1201056,1198503,1196656,1192008,1192008,1192008,1189710,1187506,1184664,1182810,1177909,1177909,1177909,1175575,1173108,1170213,1168602,1163726,1163726,1163726,1161558,1159366,1156620,1154879,1149869,1149869,1149869,1147855,1145736,1143127,1141379,1136726,1136726,1136726,1134907,1132934,1130758
18,Belize,29105,28899,28899,28899,28749,28568,28401,28162,27894,27894,27894,27673,27523,27305,27149,26798,26798,26625,26426,26152,25881,25445,25445,25445,25244,24948,24768,24447,23990,23990,23990,23762,23268,22947,22187,22187,22187,22187,22187,21893,21685,21422,21003,21003,21003,20801,20568,20295,19945,19600,19600,19600,19429,19185,18902,18902,18532,18532,18532,18334,18143,17967,17767,17405,17405,17405,17405,17251,17119,16950,16750,16750,16750,16612,16493,16353,16220,16012,16012,16012,15893,15793,15683,15556,15415,15415,15415,15334,15182,15108,15010,14847,14847,14847,14738,14672,14578,14499,14438,14438,14438,14382,14331,14284
19,Benin,24833,24833,24833,24833,24833,24833,24827,24804,24804,24804,24804,24804,24804,24804,24749,24749,24749,24749,24749,24749,24678,24678,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24560,24335,24335,24335,24335,24335,24335,24335,23890,23890,23890,23890,23890,23890,22958,22958,22958,22958,22958,21450,21450,21450,21450,21450,21450,21450,21450,21450,21450,19841,19841,19841,19841,19106,19106,19106,16946,16946,16946,16946,15932,15932,13366,13366,13366,13366,13366,13366,12492,12492,12021,10183,10183,10183,10183,10183,10183,9065,9065,9065,9065,9065,9065,9065,8608,8608,8608,8608,8608,8608,8394
20,Bhutan,2625,2625,2625,2625,2623,2623,2623,2623,2623,2623,2623,2623,2622,2622,2621,2621,2621,2621,2621,2620,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2617,2616,2615,2613,2613,2613,2613,2613,2613,2613,2613,2608,2608,2601,2601,2601,2601,2600,2599,2599,2599,2599,2599,2599,2599,2597,2597,2597,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2595,2594,2594,2592,2591,2591,2591,2585,2585,2585,2580,2580,2577,2577,2577,2571,2570,2566,2553,2551,2550,2546,2544,2544,2544,2543,2540
21,Bolivia,524261,523485,522530,522530,521518,520553,519669,518870,517902,517229,517229,515373,515373,514679,513810,513584,512460,511854,511854,510470,509919,509919,509709,509276,508702,508166,507134,507134,506654,506477,506150,505157,505157,504601,504121,503735,503735,503022,502550,502550,502047,501616,501362,500823,500823,500445,500090,499648,499202,498895,498790,498595,498331,497984,497676,497386,497100,496950,496700,496032,496032,495612,495035,495035,494664,494293,494293,493518,493115,492680,492680,492509,491759,491759,491340,490879,490467,490056,489802,489447,488933,488403,487721,487131,486643,486394,485184,484446,484446,483731,482428,482428,481631,481631,480229,480229,478671,478671,478063,477262,477262,476795,476097,475265
22,Bosnia and Herzegovina,265942,264562,263587,263587,263587,262906,260837,260837,259913,257401,257401,257401,257401,255054,255054,252758,252758,252758,252083,251264,250165,249349,247958,247958,247958,247182,246555,245791,245082,243914,243914,243914,243220,242469,241946,241227,240094,240094,240094,239400,238458,237750,237017,235536,235536,235536,234775,233775,233121,232237,230801,230801,230801,230212,229360,228105,227579,225857,225857,224862,224862,223957,222927,220636,220636,220636,220636,219804,219010,218080,217362,216124,216124,216124,215313,214759,213853,213379,212306,212306,211689,211689,211059,210442,209909,209073,209073,209073,208644,208267,207847,207571,207076,207076,207076,206835,206655,206476,206317,206106,206106,206106,206031,205949
23,Botswana,194129,193701,193701,193701,193701,193449,193449,193449,192935,192935,192935,192935,187281,187281,187281,186594,186594,186594,185985,185985,185985,184919,184919,184919,184919,184051,184051,184051,181856,181856,181856,181856,181251,181251,181251,180438,180438,180438,180438,180197,180197,179220,179220,179220,179220,179220,178050,178050,178050,176427,176427,176427,176427,173788,173788,173788,172252,172252,172252,172252,165644,165644,165644,163665,163665,163665,163665,162186,162186,162186,159317,159317,159317,159317,156927,156927,156927,153793,153793,153793,153793,150842,150842,150842,146461,146461,146461,146461,142380,142380,142380,136758,136758,136758,136758,130771,130771,130771,122574,122574,122574,122574,115220,115220
